number_offices,activities_conducted,year,job_id,pdf_key,filing_id,number_employees,ein,region,specific_type_activity,total_expenditures,source_url
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),General Services & dministration,3440916,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
13,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,1346,520595110,South Asia,Instruction & Sponsored Research,12489032,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),Student Services,1166880,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South Asia,General Services & Administration,85851,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),Libraries,513345,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South Asia,Clinical Services,741,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),Service Revolving Accounts,300,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South Asia,N/A,337196,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),Plant Operations,648960,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Investments,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,South Asia,N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),Student Aid,45526,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Fundraising,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),N/A,191149,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,See Add'IData,,,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
102,,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,3602,520595110,Totals,,202988738,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
2,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,15,520595110,Central the Caribbean,INSTRUCTION & SPONSORED RESEARCH,920740,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Central the Caribbean,CLINICALSERVICES,205004,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Central the Caribbean,N/A,113441,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Investments,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Central the Caribbean,N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
10,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,75,520595110,east Asia Pacific,Instruction Sponsored Research,14573000,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,east Asia Pacific,General Service & A dministration,436135,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,east Asia Pacific,Plant Operations & Maintenance,1302315,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,east Asia Pacific,Auxiliary Enterprises,1273224,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
58,Program Services,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,1970,520595110,Sub-Saharan Africa,Instruction Sponsored Research,134417117,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Sub-Saharan Africa,N/A,844904,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Business Travel,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),N/A,1785536,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
,Investments,2010,f2d399fdaa1a84c4079bab938196de9fb3430a1a8d0e9979f2eadd12af303f39,EIN_520595110_YEAR_2010_FORMTYPE_990.pdf,520595110_2010,,520595110,Europe (including Iceland & Greenland),N/A,0,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F52-0595110_990_201006.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,6,362171714,East Asia/Pacific,"Staff working with IFES, International Ministry Partner",135086,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,22,362171714,Europe,"Staff working with IFES, International Ministry Partner",690010,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,2,362171714,Middle East/N Africa,"Staff working with IFES, International Ministry Partner",181313,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,1,362171714,North America,"Staff working with IFES, International Ministry Partner",18090,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,10,362171714,Russia,"Staff working with IFES, International Ministry Partner",409862,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,2,362171714,South America,"Staff working with IFES, International Ministry Partner",41971,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,1,362171714,Sub Saharan Africa,"Staff working with IFES, International Ministry Partner",59310,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
,,2009,7bf7719a073b027dc5ef2f5aba8384f2a986ba9aa01fc8ab495cd1d0dc5874bf,EIN_362171714_YEAR_2009_FORMTYPE_990.pdf,362171714_2009,44,362171714,Totals,,1535642,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F36-2171714_990_200906.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,13,362171714,Europe,"Staff working with IFES, International Ministry Partner",584064,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,26,362171714,Totals,,5346319,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Grant Making,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,0,362171714,Europe,,3194280,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,1,362171714,North America,"Staff working with IFES, International Ministry Partner",5456,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Grant Making,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,0,362171714,North America,,748638,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,3,362171714,East Asia and the Pacific,"Staff working with IFES, International Ministry Partner",137717,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,2,362171714,Middle East and North Africa,"Staff working with IFES, International Ministry Partner",182307,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,5,362171714,Russia and the Newly Independent States,"Staff working with IFES, International Ministry Partner",296739,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Program Service,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,1,362171714,South America,"Staff working with IFES, International Ministry Partner",71418,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
0,Grant Making,2010,2dc0a1946c92aa61753206ff2f83bd30d839fb3f5f51c147f178ce9e55cefb55,EIN_362171714_YEAR_2010_FORMTYPE_990.pdf,362171714_2010,0,362171714,South America,,20000,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F36-2171714_990_201006.pdf
